parameter,value,count,share
DayOfWeek,0,2700000,0.135
DayOfWeek,1,2400000,0.12
DayOfWeek,2,2500000,0.125
DayOfWeek,3,3300000,0.165
DayOfWeek,4,2900000,0.145
DayOfWeek,5,3500000,0.175
DayOfWeek,6,2700000,0.135
Weather,clear,11100000,0.555
Weather,rain,6700000,0.335
Weather,snow,2200000,0.11
Hour,0,800000,0.04
Hour,1,750000,0.0375
Hour,2,690000,0.0345
Hour,3,610000,0.0305
Hour,4,470000,0.0235
Hour,5,850000,0.0425
Hour,6,980000,0.049
Hour,7,860000,0.043
Hour,8,940000,0.047
Hour,9,670000,0.0335
Hour,10,720000,0.036
Hour,11,680000,0.034
Hour,12,660000,0.033
Hour,13,790000,0.0395
Hour,14,680000,0.034
Hour,15,840000,0.042
Hour,16,1140000,0.057
Hour,17,1080000,0.054
Hour,18,1060000,0.053
Hour,19,970000,0.0485
Hour,20,830000,0.0415
Hour,21,1250000,0.0625
Hour,22,1170000,0.0585
Hour,23,510000,0.0255
Airport,False,17599865,0.87999325
Airport,True,2400135,0.12000675
Service,economy,16997856,0.8498928
Service,premium,3002144,0.1501072
Choice,Firm1,8495101,0.42475505
Choice,Firm2,11504899,0.57524495
DistanceBin,0-2,7853856,0.3926928
DistanceBin,10+,1643777,0.08218885
DistanceBin,2-5,6408852,0.3204426
DistanceBin,5-10,4093515,0.20467575
