Phase,Day,Timestep,Age,IncomeBracket,HouseholdSize,MaritalStatus,EmploymentStatus,Gender,LoyaltyType,LoyaltyFirm,LoyaltyStrength
run,0,0,37,50k-100k,2,Married,Unemployed,Male,Returning,Firm1,0.7968133687973022
run,0,0,53,50k-100k,1,Single,Employed,Female,Returning,Firm2,0.5478671789169312
run,0,0,32,50k-100k,1,Married,Employed,Male,Returning,Firm1,0.6896904110908508
run,0,0,52,50k-100k,1,Married,Employed,Male,Returning,Firm2,0.8978676795959473
run,0,0,55,100k-200k,1,Married,Unemployed,Female,New,,0.0
run,0,0,45,50k-100k,1,Married,Employed,Female,Returning,Firm1,0.8067417740821838
run,0,0,55,100k-200k,2,Single,Employed,Male,New,,0.0
run,0,0,33,200k+,6,Single,Employed,Male,Returning,Firm1,0.9173126220703125
run,0,0,18,100k-200k,1,Single,Employed,Female,New,,0.0
run,0,0,31,50k-100k,1,Married,Employed,Male,New,,0.0
run,0,0,23,50k-100k,4,Single,Employed,Female,Returning,Firm2,0.46003222465515137
run,0,0,21,50k-100k,1,Married,Student,Male,New,,0.0
run,0,0,38,<50k,1,Divorced,Employed,Male,New,,0.0
run,0,0,26,50k-100k,2,Single,Employed,Female,Returning,Firm2,0.6862409710884094
run,0,0,39,<50k,4,Single,Employed,Female,New,,0.0
run,0,0,20,100k-200k,3,Divorced,Student,Male,Returning,Firm2,0.8741719126701355
run,0,0,54,<50k,3,Married,Employed,Female,New,,0.0
run,0,0,30,50k-100k,1,Divorced,Employed,Male,New,,0.0
run,0,0,27,200k+,4,Married,Employed,Male,Returning,Firm1,0.5990661382675171
run,0,0,55,<50k,1,Single,Employed,Female,New,,0.0
run,0,0,50,100k-200k,2,Married,Employed,Male,Returning,Firm1,0.4831223785877228
run,0,0,46,200k+,1,Single,Employed,Female,Returning,Firm2,0.8669281005859375
run,0,0,22,100k-200k,1,Single,Employed,Male,Returning,Firm1,0.8330894112586975
run,0,0,41,<50k,1,Married,Employed,Male,New,,0.0
run,0,0,18,50k-100k,1,Single,Student,Male,New,,0.0
run,0,0,45,50k-100k,2,Single,Employed,Female,Returning,Firm1,0.7905228137969971
run,0,0,50,100k-200k,3,Single,Employed,Female,Returning,Firm1,0.436438649892807
run,0,0,45,50k-100k,3,Divorced,Employed,Male,Returning,Firm2,0.8872066140174866
run,0,0,26,<50k,2,Single,Employed,Male,Returning,Firm2,0.8164247274398804
run,0,0,18,<50k,1,Single,Student,Female,Returning,Firm2,0.5246676206588745
run,0,0,33,50k-100k,1,Married,Employed,Male,Returning,Firm1,0.4924323558807373
run,0,0,49,50k-100k,1,Married,Employed,Female,Returning,Firm2,0.5812861919403076
run,0,0,18,50k-100k,2,Married,Student,Male,Returning,Firm1,0.5261563062667847
run,0,0,21,50k-100k,4,Single,Employed,Female,New,,0.0
run,0,0,22,<50k,1,Divorced,Employed,Male,New,,0.0
run,0,0,31,50k-100k,5,Single,Employed,Male,New,,0.0
run,0,0,21,<50k,3,Married,Student,Male,New,,0.0
run,0,0,23,50k-100k,1,Single,Employed,Female,New,,0.0
run,0,0,35,100k-200k,1,Married,Employed,Male,Returning,Firm2,0.6699851155281067
run,0,0,40,200k+,1,Single,Unemployed,Male,New,,0.0
run,0,0,32,50k-100k,3,Married,Employed,Female,Returning,Firm2,0.41111209988594055
run,0,0,57,50k-100k,1,Divorced,Employed,Male,New,,0.0
run,0,0,39,50k-100k,3,Single,Employed,Male,Returning,Firm1,0.8129424452781677
run,0,0,49,<50k,4,Married,Employed,Male,Returning,Firm1,0.5653257966041565
run,0,0,20,50k-100k,1,Single,Student,Female,Returning,Firm2,0.5393286943435669
run,0,0,45,100k-200k,3,Single,Employed,Female,Returning,Firm2,0.6650903224945068
run,0,0,41,<50k,4,Divorced,Employed,Female,Returning,Firm2,0.6904836297035217
run,0,0,18,50k-100k,2,Single,Employed,Female,New,,0.0
run,0,0,27,50k-100k,5,Single,Employed,Male,New,,0.0
run,0,0,38,50k-100k,4,Single,Employed,Male,Returning,Firm1,0.6027570366859436
run,0,0,31,<50k,1,Married,Employed,Female,Returning,Firm1,0.9806397557258606
run,0,0,25,200k+,2,Married,Employed,Female,Returning,Firm1,0.49084731936454773
run,0,0,29,200k+,3,Divorced,Employed,Female,Returning,Firm1,0.6199966073036194
run,0,0,47,<50k,3,Single,Employed,Female,Returning,Firm2,0.9942902326583862
run,0,0,48,50k-100k,2,Single,Employed,Female,Returning,Firm2,0.8425823450088501
run,0,0,18,200k+,1,Married,Student,Male,Returning,Firm2,0.978204607963562
run,0,0,45,50k-100k,2,Married,Employed,Female,Returning,Firm2,0.41657108068466187
run,0,0,18,100k-200k,2,Married,Student,Male,Returning,Firm2,0.6441404223442078
run,0,0,21,50k-100k,4,Married,Student,Male,Returning,Firm1,0.8501992225646973
run,0,0,43,<50k,1,Married,Employed,Male,Returning,Firm1,0.9140677452087402
run,0,0,27,50k-100k,4,Single,Employed,Male,New,,0.0
run,0,0,48,<50k,1,Single,Employed,Female,Returning,Firm2,0.6446436047554016
run,0,0,43,50k-100k,1,Single,Employed,Female,New,,0.0
run,0,0,37,100k-200k,1,Married,Employed,Female,New,,0.0
run,0,0,28,100k-200k,2,Single,Unemployed,Female,Returning,Firm2,0.9600998163223267
run,0,0,45,50k-100k,1,Single,Employed,Male,New,,0.0
run,0,0,50,100k-200k,2,Single,Employed,Female,Returning,Firm2,0.7420041561126709
run,0,0,28,200k+,3,Single,Unemployed,Male,Returning,Firm1,0.9996986985206604
run,0,0,38,50k-100k,3,Married,Employed,Female,Returning,Firm2,0.7500521540641785
run,0,0,36,50k-100k,1,Single,Employed,Male,New,,0.0
run,0,0,27,200k+,2,Divorced,Employed,Male,Returning,Firm1,0.8762143850326538
run,0,0,38,100k-200k,3,Married,Employed,Male,Returning,Firm1,0.9567707180976868
run,0,0,24,100k-200k,1,Divorced,Employed,Female,Returning,Firm2,0.6802952289581299
run,0,0,34,<50k,1,Single,Employed,Male,New,,0.0
run,0,0,31,<50k,3,Married,Employed,Male,Returning,Firm2,0.4409981071949005
run,0,0,32,50k-100k,1,Single,Employed,Female,Returning,Firm2,0.8572267293930054
run,0,0,41,<50k,1,Divorced,Employed,Female,Returning,Firm2,0.5869131088256836
run,0,0,29,50k-100k,2,Married,Employed,Male,Returning,Firm1,0.6527554392814636
run,0,0,29,50k-100k,3,Single,Employed,Male,Returning,Firm1,0.6628202795982361
run,0,0,57,50k-100k,2,Single,Employed,Male,Returning,Firm1,0.48737043142318726
run,0,0,55,<50k,2,Married,Employed,Female,Returning,Firm1,0.974510133266449
run,0,0,29,200k+,1,Single,Employed,Female,New,,0.0
run,0,0,48,50k-100k,1,Single,Employed,Female,New,,0.0
run,0,0,48,100k-200k,1,Married,Employed,Female,New,,0.0
run,0,0,42,<50k,2,Divorced,Employed,Male,New,,0.0
run,0,0,28,200k+,1,Single,Employed,Female,Returning,Firm2,0.4455595910549164
run,0,0,44,200k+,1,Divorced,Employed,Male,Returning,Firm2,0.4354066550731659
run,0,0,43,200k+,1,Married,Employed,Female,Returning,Firm1,0.9754399657249451
