CustomerID,NewOrReturning,Age,Gender,HouseholdSize,IncomeBracket,MaritalStatus,EmploymentStatus
1,Returning,38,Female,3,200k+,Married,Employed
2,Returning,19,Male,1,50k-100k,Single,Employed
3,Returning,40,Male,4,<50k,Single,Employed
4,Returning,43,Male,1,200k+,Single,Employed
5,New,42,Female,2,50k-100k,Married,Employed
6,New,48,Male,3,200k+,Single,Employed
7,New,46,Male,1,200k+,Married,Employed
8,Returning,41,Female,1,100k-200k,Single,Employed
9,Returning,35,Male,2,200k+,Single,Employed
10,Returning,18,Male,2,<50k,Single,Student
11,New,41,Male,2,50k-100k,Single,Employed
12,Returning,38,Male,1,100k-200k,Single,Employed
13,Returning,39,Male,3,50k-100k,Single,Employed
14,New,20,Male,5,200k+,Widowed,Student
15,New,23,Female,1,<50k,Married,Employed
16,New,48,Female,2,100k-200k,Single,Employed
17,Returning,35,Female,2,100k-200k,Single,Employed
18,Returning,44,Male,5,100k-200k,Divorced,Employed
19,Returning,36,Female,1,50k-100k,Single,Employed
20,New,36,Male,2,50k-100k,Single,Employed
21,Returning,47,Male,1,200k+,Married,Employed
22,New,29,Female,1,50k-100k,Married,Employed
23,New,37,Male,2,200k+,Married,Employed
24,Returning,30,Male,1,100k-200k,Single,Unemployed
25,Returning,30,Male,4,100k-200k,Single,Employed
26,Returning,32,Female,2,100k-200k,Married,Employed
27,New,38,Male,3,50k-100k,Single,Employed
28,Returning,30,Female,1,100k-200k,Married,Employed
29,Returning,51,Female,1,200k+,Married,Employed
30,New,25,Male,3,50k-100k,Single,Employed
31,Returning,33,Male,2,200k+,Divorced,Employed
32,New,30,Male,2,50k-100k,Married,Employed
33,New,53,Male,1,<50k,Married,Unemployed
34,Returning,38,Male,1,50k-100k,Single,Employed
35,Returning,48,Female,2,200k+,Single,Employed
36,Returning,18,Female,1,50k-100k,Single,Student
37,Returning,39,Female,4,200k+,Single,Employed
38,New,46,Male,5,200k+,Widowed,Employed
39,Returning,36,Female,1,50k-100k,Single,Employed
40,Returning,48,Female,1,<50k,Single,Employed
41,New,29,Female,5,100k-200k,Single,Employed
42,Returning,52,Male,1,50k-100k,Married,Employed
43,New,63,Female,1,100k-200k,Single,Employed
44,Returning,31,Male,1,50k-100k,Single,Employed
45,New,30,Male,3,50k-100k,Single,Employed
46,Returning,53,Male,2,100k-200k,Divorced,Employed
47,Returning,54,Female,3,50k-100k,Single,Employed
48,Returning,29,Female,5,50k-100k,Divorced,Employed
49,Returning,30,Male,5,50k-100k,Married,Employed
50,New,32,Male,2,50k-100k,Single,Employed
51,Returning,19,Male,3,100k-200k,Married,Student
52,Returning,24,Male,5,200k+,Single,Employed
53,Returning,23,Male,3,50k-100k,Widowed,Employed
54,Returning,26,Male,2,100k-200k,Married,Employed
55,Returning,35,Female,3,100k-200k,Single,Employed
56,Returning,38,Male,1,50k-100k,Single,Employed
57,New,54,Male,1,50k-100k,Single,Employed
58,New,24,Male,4,200k+,Widowed,Employed
59,New,47,Female,1,100k-200k,Single,Employed
60,Returning,33,Female,5,100k-200k,Married,Employed
61,Returning,35,Female,2,100k-200k,Single,Employed
62,New,44,Male,3,<50k,Divorced,Employed
63,Returning,22,Female,2,100k-200k,Single,Employed
64,Returning,40,Male,1,100k-200k,Married,Employed
65,New,37,Female,1,100k-200k,Single,Employed
66,Returning,41,Female,4,50k-100k,Married,Employed
67,New,39,Female,3,<50k,Single,Employed
68,Returning,65,Female,3,50k-100k,Single,Employed
69,New,28,Female,5,200k+,Single,Employed
70,Returning,29,Male,1,50k-100k,Married,Unemployed
71,Returning,28,Female,4,50k-100k,Single,Employed
72,New,29,Male,1,<50k,Married,Employed
73,New,28,Female,1,<50k,Single,Employed
74,Returning,50,Male,1,100k-200k,Divorced,Employed
75,Returning,53,Male,1,100k-200k,Divorced,Employed
76,Returning,29,Male,1,100k-200k,Married,Employed
77,Returning,26,Male,4,50k-100k,Single,Employed
78,New,41,Male,2,100k-200k,Single,Employed
79,Returning,29,Female,1,50k-100k,Single,Unemployed
80,New,43,Male,1,50k-100k,Single,Employed
81,Returning,38,Male,1,50k-100k,Married,Employed
82,Returning,18,Female,2,50k-100k,Married,Employed
83,Returning,54,Male,2,50k-100k,Divorced,Employed
84,New,57,Female,1,100k-200k,Single,Employed
85,Returning,28,Female,2,100k-200k,Married,Employed
86,Returning,31,Female,1,200k+,Single,Employed
87,Returning,39,Female,2,50k-100k,Married,Unemployed
88,Returning,40,Male,2,<50k,Single,Employed
89,Returning,43,Female,1,50k-100k,Single,Employed
90,Returning,60,Male,2,200k+,Single,Employed
91,New,33,Male,1,100k-200k,Married,Employed
92,Returning,26,Female,3,100k-200k,Divorced,Employed
93,Returning,19,Male,4,<50k,Single,Employed
94,Returning,27,Female,4,100k-200k,Single,Employed
95,Returning,35,Female,3,<50k,Single,Employed
96,Returning,57,Female,3,100k-200k,Married,Employed
97,Returning,29,Female,2,200k+,Single,Employed
98,Returning,38,Male,1,200k+,Married,Employed
99,New,35,Male,2,100k-200k,Widowed,Employed
100,New,50,Female,3,50k-100k,Divorced,Employed
101,New,66,Male,1,200k+,Single,Retired
102,Returning,29,Female,2,100k-200k,Divorced,Employed
103,Returning,30,Female,1,<50k,Married,Employed
104,Returning,48,Female,1,50k-100k,Single,Employed
105,Returning,44,Male,2,50k-100k,Married,Employed
106,New,58,Male,3,50k-100k,Married,Employed
107,Returning,43,Male,2,50k-100k,Single,Employed
108,Returning,31,Male,1,100k-200k,Single,Employed
109,New,43,Female,3,50k-100k,Single,Employed
110,New,49,Male,2,50k-100k,Married,Employed
111,New,45,Male,2,100k-200k,Single,Employed
112,New,42,Male,1,200k+,Divorced,Employed
113,Returning,48,Female,4,100k-200k,Married,Employed
114,Returning,50,Female,2,50k-100k,Married,Employed
115,Returning,52,Male,2,200k+,Single,Employed
116,Returning,43,Male,1,200k+,Married,Employed
117,Returning,33,Male,2,50k-100k,Single,Employed
118,New,37,Male,2,<50k,Single,Employed
119,Returning,50,Female,2,100k-200k,Married,Employed
120,Returning,26,Female,4,200k+,Single,Employed
121,Returning,40,Male,1,200k+,Married,Employed
122,Returning,31,Male,1,200k+,Single,Employed
123,Returning,36,Female,4,100k-200k,Single,Employed
124,New,51,Male,1,100k-200k,Single,Employed
125,New,38,Female,1,<50k,Widowed,Employed
126,Returning,36,Male,3,50k-100k,Married,Employed
127,Returning,19,Male,1,50k-100k,Married,Student
128,Returning,44,Male,1,100k-200k,Single,Employed
129,New,43,Male,1,100k-200k,Single,Unemployed
130,Returning,61,Female,1,100k-200k,Widowed,Employed
131,Returning,32,Male,2,50k-100k,Single,Employed
132,New,38,Male,2,100k-200k,Single,Employed
133,New,38,Male,1,<50k,Married,Employed
134,Returning,54,Male,2,50k-100k,Single,Employed
135,Returning,34,Male,3,100k-200k,Married,Unemployed
136,Returning,39,Male,1,100k-200k,Married,Employed
137,Returning,43,Female,3,200k+,Single,Employed
138,Returning,38,Male,1,50k-100k,Single,Employed
139,Returning,30,Male,4,50k-100k,Single,Employed
140,Returning,38,Female,5,50k-100k,Divorced,Employed
141,Returning,48,Male,1,50k-100k,Married,Employed
142,New,23,Female,1,200k+,Single,Unemployed
143,Returning,37,Male,4,100k-200k,Single,Employed
144,Returning,27,Female,1,200k+,Married,Unemployed
145,New,50,Female,1,50k-100k,Married,Employed
146,New,18,Female,3,200k+,Single,Student
147,Returning,29,Female,2,<50k,Single,Employed
148,Returning,40,Male,1,200k+,Single,Employed
149,New,54,Female,1,50k-100k,Married,Employed
150,New,35,Male,2,50k-100k,Widowed,Employed
151,Returning,29,Male,1,100k-200k,Single,Employed
152,New,58,Male,4,200k+,Married,Employed
153,New,18,Female,3,<50k,Single,Student
154,Returning,18,Male,1,50k-100k,Single,Employed
155,Returning,41,Female,2,200k+,Single,Employed
156,New,29,Female,4,50k-100k,Married,Employed
157,Returning,23,Female,2,50k-100k,Single,Employed
158,Returning,44,Female,1,50k-100k,Married,Employed
159,New,38,Male,2,50k-100k,Single,Employed
160,Returning,29,Male,2,200k+,Single,Employed
161,Returning,20,Male,2,100k-200k,Single,Employed
162,Returning,46,Male,1,100k-200k,Married,Employed
163,Returning,43,Male,1,200k+,Single,Employed
164,Returning,34,Male,3,50k-100k,Married,Employed
165,New,58,Male,5,<50k,Single,Employed
166,Returning,23,Female,1,50k-100k,Single,Employed
167,Returning,18,Female,2,50k-100k,Single,Student
168,New,27,Male,2,50k-100k,Single,Employed
169,New,35,Female,2,200k+,Single,Employed
170,Returning,38,Male,2,100k-200k,Single,Unemployed
171,Returning,33,Male,2,50k-100k,Married,Employed
172,New,40,Female,1,100k-200k,Married,Employed
173,Returning,20,Male,4,100k-200k,Single,Student
174,New,53,Male,3,200k+,Single,Employed
175,Returning,35,Female,1,200k+,Single,Employed
176,New,49,Female,2,100k-200k,Single,Employed
177,Returning,40,Female,2,100k-200k,Single,Unemployed
178,Returning,41,Female,3,100k-200k,Divorced,Employed
179,Returning,42,Female,1,100k-200k,Single,Employed
180,New,41,Male,2,<50k,Single,Employed
181,Returning,43,Male,1,<50k,Single,Employed
182,New,51,Male,3,100k-200k,Single,Employed
183,Returning,38,Male,3,50k-100k,Married,Employed
184,Returning,44,Female,2,<50k,Single,Employed
185,New,34,Male,1,100k-200k,Single,Employed
186,Returning,53,Female,3,<50k,Married,Employed
187,Returning,27,Female,2,100k-200k,Single,Employed
188,Returning,57,Female,4,100k-200k,Married,Employed
189,Returning,35,Female,1,200k+,Married,Employed
190,New,18,Female,3,50k-100k,Single,Employed
191,New,37,Male,2,<50k,Married,Employed
192,Returning,27,Female,4,100k-200k,Single,Employed
