CustomerID,NewOrReturning,Age,Gender,HouseholdSize,IncomeBracket,MaritalStatus,EmploymentStatus,TravelDistance,Utility,PurchaseDecision
1,Returning,38,Female,3,200k+,Married,Employed,3.8,-4.216497150218457,False
2,Returning,19,Male,1,50k-100k,Single,Student,6.31,-4.435926331812159,False
3,Returning,40,Male,4,<50k,Single,Employed,0.36,-5.810453681007637,False
4,Returning,43,Male,1,200k+,Single,Employed,0.81,-5.927014727422852,False
5,New,42,Female,2,50k-100k,Married,Employed,5.68,-8.004082288330416,False
6,New,48,Male,3,200k+,Single,Employed,0.09,-6.605480346463132,False
7,New,46,Male,1,200k+,Married,Employed,6.79,-5.742074413202475,False
8,Returning,41,Female,1,100k-200k,Single,Employed,0.06,-8.220892064047533,False
9,Returning,35,Male,2,200k+,Single,Employed,4.28,-6.540415790215434,False
10,Returning,18,Male,2,<50k,Single,Student,1.82,-8.297836470922634,False
11,New,41,Male,2,50k-100k,Single,Employed,3.78,-5.876323835697373,False
12,Returning,38,Male,1,100k-200k,Single,Employed,4.76,-4.807234029151183,False
13,Returning,39,Male,3,50k-100k,Single,Employed,1.68,-4.886225481375671,False
14,New,20,Male,5,200k+,Widowed,Student,0.46,-5.216215537920759,False
15,New,23,Female,1,<50k,Married,Employed,0.29,-7.634896341198569,False
16,New,48,Female,2,100k-200k,Single,Employed,3.56,-7.638065158519959,False
17,Returning,35,Female,2,100k-200k,Single,Employed,2.94,-7.490868699401502,False
18,Returning,44,Male,5,100k-200k,Divorced,Employed,5.42,-6.325982577254499,False
19,Returning,36,Female,1,50k-100k,Single,Employed,2.85,-6.991359698035675,False
20,New,36,Male,2,50k-100k,Single,Employed,2.2,-6.209748497991587,False
21,Returning,47,Male,1,200k+,Married,Employed,2.03,-6.994664218126968,False
22,New,29,Female,1,50k-100k,Married,Employed,0.11,-6.1895241063317386,False
23,New,37,Male,2,200k+,Married,Employed,1.64,-6.071273502799473,False
24,Returning,30,Male,1,100k-200k,Single,Unemployed,14.92,-4.401454288258974,False
25,Returning,30,Male,4,100k-200k,Single,Employed,8.27,-3.469249447328796,False
26,Returning,32,Female,2,100k-200k,Married,Employed,1.6,-7.15023173420037,False
27,New,38,Male,3,50k-100k,Single,Employed,3.54,-5.290295421707631,False
28,Returning,30,Female,1,100k-200k,Married,Employed,7.52,-5.235973228476073,False
29,Returning,51,Female,1,200k+,Married,Employed,2.33,-6.288986280969695,False
30,New,25,Male,3,50k-100k,Single,Employed,0.07,-5.27924367913404,False
31,Returning,33,Male,2,200k+,Divorced,Employed,0.31,-5.189485845442993,False
32,New,30,Male,2,50k-100k,Married,Employed,2.86,-6.917490795988428,False
33,New,53,Male,1,<50k,Married,Employed,13.95,-4.954660583857924,False
34,Returning,38,Male,1,50k-100k,Single,Employed,4.73,-5.549288317415934,False
35,Returning,48,Female,2,200k+,Single,Employed,0.29,-6.319506748022585,False
36,Returning,18,Female,1,50k-100k,Single,Student,0.84,-5.828978667712201,False
37,Returning,39,Female,4,200k+,Single,Unemployed,5.9,-4.928807982089724,False
38,New,46,Male,5,200k+,Widowed,Unemployed,7.37,-3.1419387596439874,False
39,Returning,36,Female,1,50k-100k,Single,Employed,3.85,-7.482779135929788,False
40,Returning,48,Female,1,<50k,Single,Employed,4.14,-6.291435989747398,False
41,New,29,Female,5,100k-200k,Single,Unemployed,0.11,-6.937002511512191,False
42,Returning,52,Male,1,50k-100k,Married,Employed,7.05,-4.998392544560956,False
43,New,63,Female,1,100k-200k,Single,Employed,6.21,-7.150671890045545,False
44,Returning,31,Male,1,50k-100k,Single,Employed,1.2,-5.978687289775114,False
